,0
0,Nuñez
1,Saavedra
2,Belgrano
3,Coghlan
4,Colegiales
5,Retiro
6,San Nicolas
7,Montserreat
8,San Telmo
9,Costitucion
10,Puerto Madero
11,La Boca
12,Balvanera
13,San Cristobal
14,Parque Patricios
15,Almagro
16,Boedo
17,Nueva Pompeya
18,Soldati
19,Caballito
20,Parque Chacabuco
21,Flores
22,Floresta
23,Velez Sarfield
24,Villa Luro
25,Versalles
26,Villa Real
27,Villa Devoto
28,Villa Pueyreddon
29,Villa Santa Rita
30,Villa General Mitre
31,Villa Del Parque
32,Agronomia
33,La Paternal
34,Parque Chas
35,Villa Ortuzar
36,Chacarita
37,Colegiales
38,Villa Crespo
39,Barracas
40,Riachuelo
41,Lugano
42,Mataderos
