barrio,x,y
Nuñez,-65.0, 262.0
Saavedra,-138.0, 228.0
Belgrano,-26.0, 205.0
Coghlan,-101.0, 196.0
Palermo,48.0, 159.0
Colegiales,-33.0, 147.0
Recoleta,134.0, 83.0
Retiro,191.0, 90.0
San Nicolas,179.0, 38.0
Montserreat,179.0, -0.0
San Telmo,207.0, -25.0
Costitucion,169.0, -38.0
Puerto Madero,252.0, 21.0
La Boca,227.0, -66.0
Balvanera,119.0, 13.0
San Cristobal,118.0, -37.0
Parque Patricios,114.0, -76.0
Almagro,54.0, 19.0
Boedo,69.0, -45.0
Nueva Pompeya,67.0, -132.0
Soldati,-5.0, -178.0
Caballito,-6.0, -9.0
Parque Chacabuco,17.0, -73.0
Flores,-61.0, -73.0
Avellaneda,-105.0, -116.0
Floresta,-119.0, -46.0
Velez Sarfield,-154.0, -63.0
Villa Luro,-187.0, -80.0
Liniers,-229.0, -108.0
Versalles,-244.0, -53.0
Villa Real,-258.0, -15.0
Villa Devoto,-221.0, 43.0
Villa Pueyreddon,-184.0, 116.0
Villa Santa Rita,-123.0, -6.0
Villa General Mitre,-79.0, 16.0
Villa Del Parque,-152.0, 38.0
Agronomia,-144.0, 79.0
La Paternal,-87.0, 66.0
Parque Chas,-110.0, 105.0
Villa Ortuzar,-77.0, 120.0
Chacarita,-41.0, 96.0
Colegiales,-29.0,149.0
Villa Crespo,-5.0, 56.0
Barracas,161.0, -128.0
Riachuelo,-59.0, -291.0
Lugano,-104.0, -216.0
Mataderos,-177.0, -167.0
